entry,defid,word,author,definition,example,thumbs_up,thumbs_down
aaya's disease,5230282,Aaya's Disease,Someone10101010101010,A disease that makes you a emo/vampire kid,Amethia has the Aaya's Disease,2,10
aalders,5015259,Aalders,Dalando,"Aalders is a strange, rare rock. You can also use Aalders when you see a happy family.","Oh, they're sure a AALDERS family",2,1
aaagnulshatz,1825252,aaagnulshatz,buttsack,"The act of defecating on a goats hoof, then having one's sexual partner feast upon the goat's hoof which is covered with severe diarheal fecal matter. This term was coined in the early 18th century in alpen austria where sheperds found much amusement by giving local prostetutes aaagnulshatz's.",My good friend arnold climbed a large hill with his wife where she performed many aaagnulshatz's.,8,3
aamer,3781654,Aamer,mag546gpsh56,"1. Word meaning commander, master, or leader. 2. A man who takes after these qualities and who is probably very attractive, brilliant, and dresses well. Also kinky in bed.","""Who is that man at the front of the room?""

""Aamer, who else?""


""Oh my God some Aamer just asked me for my number!""

""Sounds like you're in for a ride."" *winks*",63,9
aamer,6246668,aamer,breeannnn,"The most sexiest man in the world, in the whole FREAKING WORLD! Aamer I want your body! He used to go to my school and he was f-ing HOT!",I wanna fuck Aamer so bad but he left my school a year ago.,22,6
aamer,2125635,Aamer,Peter Delaware,"A sexual act involving peeing in a girls butt, made popular in late 2006 in Delaware. Sometimes called a Ghabra.","""dude, i got so drunk and Aamered that chick TWICE""

""i'm going take you home and give you an aamer""

""how much to aamer you""

""Lets get drunk and I'll give you a Ghabra you'll never forget""",33,49
aaryesh,2885121,aaryesh,rupesh,The God of Arya(our ancestors). The person who is best among all/arya(men and women),when aarya came on earth the man among them who was leader was known as Aaryesh,3,3
aachen,6404350,Aachen,Dolphin1991,"German city in the mid-west, in North-Rhine Westphalia. Right at the border to both Belgium and the Netherlands.

260.000 inhabitants on 160.83 km2.

Favourite residence of Charlemagne in the middle ages.

Smells of Marmelade and Chocolate, due to Zentis and Lindt who have huge factories near the town centre.

Best clubs to go out are Apollo, B9 and Starfish.","Aachener [Dom]

We should go out in [Aachen]",11,4
aatta kaari,2928517,aatta kaari,Pratshanth,"a girl that is not proper; someone that likes to chill in the streets; the opposite of being proper, prudent, innocent, decent","Jhananiee is a aatta kaari; improper girl, party girl, chiller, disgrace to tamil culture",7,10
aaron arden,7251083,Aaron Arden,Smokedtoes,"A huge shit lord who is bad at this game. Also he will never make it, never make it, nevah make it.","Jamie: Hey, who is that guy who is just down right a baddy?

Hunter: Oh, that would be that dick Aaron Arden.",1,2
aarion,7465342,aarion,Aari_Rashaun,"A person (most likely a girl) that cares for others but also has an attitude. She seeks alot of attention but also doesn't always want to be seen. She stands up for what is right and won't take no for an answer she is an all around sweet, Irritating and cool person","Aarion-It's okay to cry, and be sad but its never okay to give up on what you deserve and on what is right",19,3
aashman,4834259,Aashman,Jinesh123,"Aashman refers to a man who is often seen bald and enjoys playing non competitive sports. His main interests lie in looking at leaves, staring at the ceiling etc. Aashman is sometimes given the nick name 'ASSMAN' too. He tends to be unsuccessful with ladies due to the size of his penis not appealing to the ladies.",What an Aashman of a guy! yuck!,6,14
afaa,2043002,afaa,Sawsan,"A word which Arabs use - generally as slang - which has a similar effect to the Americans saying ""Oooooooooh!"" for example when someone starts a fight.

Or it can mean in your face.

It is like a real version of ""pwned"".","guy: I'm not going to go out with you sorry
girl: who said I wanted to go out with you anyway loser
random person: AFAAAAA!",10,4
aaron north,2326742,Aaron North,Light dude,"Was the guitarist for The Icarus Line and now the guitarist for Nine Inch Nails. He uses Hagstrom guitars, and he can be seen with one in the music video of ""The Hand that Feeds."" In 2002 (while he was still with The Icarus Line), at a performance in Austin, Texas, he broke the casing of a guitar from Stevie Ray Vaughn, and attempted to plug it in. Because of this, he has received numerous death threats from outraged Texans. The Icarus Line is also banned from playing at the Roxy Theater in West Hollywood, California after Aaron North threw his guitar into expensive lighting equipment. He is also known for going into crowds and physically ""dealing"" with hecklers. North is a co-owner of Buddyhead (a record label notorious for it's gossip; labels for bands like The Cassettes, Wires on Fire, and more), along with Travis Keller. Two years ago, in 2005, he performed as a guitarist in some of Queens of the Stone Age's shows. In July of 2006, a lawsuit was tagged with him and Nine Inch Nails. The plaintiff of this lawsuit (Wisconsin security guard Mark LaVoie) claimed that North had intentionally and violently injured him while Nine Inch Nails were doing a show at Alliant Energy Center on October 13, 2005.","Aaron North is quoted as saying, ""I'm the youngest, and shortest in the band. I believe I fart the least as well. I like milkshakes, unicorns and obscure underground German speed metal records.""",14,7
aanal sex,5555097,Aanal Sex,MohawkBob,A sexual act involving curry and the anus.,"My asshole is burning, my boyfriend insisted on having aanal sex last night.",16,27
aaauuusheybooboo,5342579,Aaauuusheybooboo,Chovis McHovis the 3rd,Mocking someone who is being moody/huffy/upset,"Person A: ""Im so upset that I havent seen my boyfriend in a week and he hasnt even phoned""
Person B: ""Aaauuusheybooboo""",8,2
aanji,2831457,Aanji,Elisa Paz,"The pairing of the characters Aang and On Ji of the popular Nickelodeon tv show [Avatar: The Last Airbender], created by Michael DiMartino and Bryan Konietzko. This pairing, as cute as it may be, is probably not going to happen because we may never see On Ji again; she had a cameo appearance in episode 2 of Season 3 ""The Headband"". On Ji was immediately kind to Aang when they met at a Fire Nation School. However, On Ji's boyfriend, Hide, posed a threat to Aang's physical well being, because, well, Hide was bigger and a bully (though Aang was able to defeat him with his superior reflexes). Despite her jealous bully of a boyfriend, On Ji still went to the Dance Party Aang threw and they danced together (which was adorable!) The total number of supporters for this shipping, however, could just be me.","Aanji will probably never happen, but it's still adorable.
biased-self: anything's better than Kataang
unbiased-self: what was that?!
biased-self: nothing!
unbiased-self: good.
biased-self: *cough*zutaraforever*cough*
unbiased-self glares at biased-self but internally agrees.",8,2
aashir,5440963,Aashir,aashirforever123456789,a big guy who likes to roll on the floor,"-my hamster is like an aashir

-look at that aashir on the top of the hill.. here he comes again!",33,10
aaron barrett,1756909,aaron barrett,Waickdawg,"Born on August 30, 1974. The lead guitarist/singer/main songwriter of Reel Big Fish.  Before joining/forming Reel Big Fish, he played trombone in The Scholars. Aaron is also the founder of The Forces of Evil. Aaron resides in the glorious Orange County, California. Reel Big Fish still tours frequently, and Aaron is always coming up with new on-stage antics to pull. He has rather incredible sideburns in which many people try to mimic,but cannot. Aaron is possibly one of the most sarcastic people you will ever meet. He has nice tattos.","""Aaron Barrett is a God.""",159,34
aaarrrggghhh,6585759,Aaarrrggghhh,LSBjr,Guttural utterance when a man cums on a woman's face or body.,Aaarrrggghhh!!! Go get me some Fiji water!,1,8
aaryeah,6037105,aaryeah,arab crew 23,utility word. A word of many uses. its main use is after an outrageous or borderline offensive comment to enlighten the mood or soften its abusive effect.,"your mum has crabs,, aaryeah!",4,1
aaaabuse,4502051,aaaabuse,Jim Lands,The action of [exploiting alphabetization] to make one or one's business appear at [the top of a list] by naming it with [the letter a] or more than one [letter a].,"That's a kind of aaaabuse, [isn't it]?",7,1
aakas,6571078,Aakas,Tasha0406,"Usualy a kind hearted guy, always keeps his word. He likes to have fun but does it on the low. He is very responsible and is very smart. He usually always does what he wants. He has this special charm to know how to win you over and always keep you smiling. Aakas's are great guys overall, although they may come out as ladies man, he can be faithful to just one lady, just has to find the right one. They are usually cute, smart and very romantic. They like to do things like look at the stars and walk the long way out of the mall.",I love my Aakas..,2,0
aruvaani,6131200,aruvaani,ikli,Prostitute like women.,"Edi Aruvaani, ninakku kazhappanoodi",1,0
ahmaazing,2950536,ahmaazing,Tyler Afflerbach,"amazing, wounderful, great",That girl's singing voice is ahmaazing!,5,1
aatst,5091937,AATST,Ry_Steevs,"an abbreviation for the phrase ""all at the same time""","D'Andre: man ya know i'm terrible at multi-tasking. I can't just talk on the phone, watch tv, and cook me some dinner AATST like you white people.

Ryand: manee whatever, ho.",4,2
aareyon,7024742,Aareyon,LastQueen360,"Lightskin , Smart , Funny , Has a good sense of humor but at the same time he can be a wanna be thug . A good & faithful bf to his gf Brianna .","Girl : Aareyon is cute af !
Boy : Be careful he has a gf !
Girl : -.-",8,4
alaa,3848705,Alaa,L..a..(grt),"its an arabic word which means all the blessings in the world. Its used as a name for girls. Usually if you are named like that, then the meaning really falls on you.
Its pronounced as (alaeh)","g1: hi, there. 
g2: hi
g1: so wats ur name?
g2: Alaa
g1: nice",223,68
